Startup name,Allowance/Assistance Type,Industry,Woman Led(SO Recognised),Retured Assessed,Employee Cost(21),Employee Cost(22),Expences(21),Expences(22),Income Tax(21),Income Tax(22),Rank,Revenue(21),Revenue(22),SGST(21),SGST(22)
SARCHAK ELECTRICAL AND ELECTRONICS PRIVATE LIMITED,,RETAIL,,2022,,,,,0,0,279,,0,0,0
CEIBA GREEN SOLUTIONS (OPC) PRIVATE LIMITED,,GREEN TECHNOLOGY,Yes,2022,,,,,0,0,279,,0,0,0
ASHIRBAD INFOSOL PRIVATE LIMITED,,IT SERVICES,,2022,83000,270600,376038,721842,,,159,321363,685490,0,0
BOOKYBERG PRIVATE LIMITED,,EDUCATION,,2022,,,768589,1135898,,,78,737332,1087135,0,0
ZUBI INFOTECH PRIVATE LIMITED,,EDUCATION,,2022,1452202,11000,1881061.82,100713.12,,,414,1280462.55,45265,0,0
HEZITT HEALTHCARE SERVICES PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,177793,,415022.21,1251,,0,277,375724.97,1251,0,0
WEBZIN INFOTECH PVT LTD,,IT SERVICES,Yes,2022,535000,24000,826950,77310,0,,344,831105,32894,0,0
33 CRORES POOJA PRODUCT PRIVATE LIMITED,,AGRICULTURE,,2022,72000,96000,1589298,1920669,12910,17900,153,1638965,1989499,0,0
QUALIVON TECHNOLOGIES PRIVATE LIMITED,,INTERNET OF THINGS,,2022,,,200649,159409,,,295,,0,0,0
DARUBRAHMA AUTOMATION ROBOTICS PRIVATE LIMITED,Y,ROBOTICS,,2022,,180247,10000,252347.25,,,219,560,86015,0,0
INTECHGRATOR EDUCATION PRIVATE LIMITED,,EDUCATION,Yes,2022,,,21344.2,30969,,,419,8,7,0,0
PANAGRI CONSULTANCY (OPC) PRIVATE LIMITED,,AGRICULTURE,,2022,30000,65000,117152,128350,,,142,575,63201,0,0
ECOKART TECHNOLOGY PRIVATE LIMITED,,GREEN TECHNOLOGY,,2022,804000,1025196,6413744,14517012,178862,526834,64,7127064,16543298,384529.8,1090747.35
10X DATA LABS PVT LTD,,IT SERVICES,,2022,,,,,0,0,279,,0,0,0
MCTEL BROADBAND PRIVATE LIMITED,,TELECOMMUNICATION AND NETWORKING,Yes,2022,730548,399000,2640949,1826006,,,390,1957796,798272,0,0
IONOX SOFTWARE PRIVATE LIMITED,,IT SERVICES,,2022,40000,892526,112520,1941898,,2850,251,103000,1960173,0,0
BRAINTREE HEALTHCARE PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,1946060,2791742,3828600,5927700,14627,39634,50,3884856,6080138,141364.2,306010.35
ROBOGENSIS DIGITAL SERVICES PRIVATE LIMITED,,EDUCATION,,2022,41450,58400,301165,375030,,,141,143700,223119,0,0
ODIAA GENERAL PRIVATE LIMITED,,TRANSPORTATION AND STORAGE,Yes,2022,,148651,38689,2009836,0,0,73,50400,2138123,0,10359.225
SYGRACE SOLUTIONS PVT LTD,,SPORTS,,2022,,,37385,112545.97,,,202,,0,0,0
RUSTIC HUE CREATIONS (OPC) PVT LTD,,TEXTILES AND APPAREL,Yes,2022,143983,130934,642063,882504,,,34,622472,865825,0,0
INOFINITY RESEARCH AND DEVELOPMENT PRIVATE LIMITED,Y,HEALTHCARE AND LIFESCIENCES,Yes,2022,18000,720168,169888,1070860,,,117,156830,980122,0,0
BYTEIQ ANALYTICS PVT. LIMITED,,ANALYTICS,Yes,2022,878000,2330600,1930600,6109000,586200,1333600,49,4184800,11042100,163860,678157.5
KOUSTUV ICONIC SOLUTIONS PRIVATE LIMITED,,HUMAN RESOURCES,,2022,96000,84000,328588,505318,5780,7537,87,350820,534305,0,0
SAHITYAKRITI INDIA PVT LTD,,EDUCATION,,2022,,,26080,16491,0,,417,30013,15000,0,0
FASCELL TECHNOLOGY (OPC) PRIVATE LIMITED COMPANY,,EDUCATION,,2022,,,34812.8,12800.2,,,270,,0,0,0
MAGUS PROFESSIONALS PRIVATE LIMITED,,PROFESSIONAL AND COMMERCIAL SERVICES,Yes,2022,349625,403313,1424964.33,1289047.05,3633,972,263,1438929.4,1292783,0,0
ARANYA PARIDHI PRIVATE LIMITED,Y,AGRICULTURE,,2022,,,408007.57,895637.85,,,288,,663761.8,0,0
NECTARSDAY HEALTHCARE PVT LTD,,HEALTHCARE AND LIFESCIENCES,Yes,2022,,,573074,826721,573074,,405,,732188,0,0
FLYMYOWN ESERVICES PRIVATE LIMITED,,RETAIL,,2022,65240,82500,141983,153360.5,,,269,138640,125000,0,0
CEREBRONICS TECHNOLOGY PRIVATE LIMITED,Y,IT SERVICES,,2022,2320397,1195687,3714093,2909701,,,391,1620281,662859,0,0
SSR GREEN TECH ENERGY PRIVATE LIMITED,,RENEWABLE ENERGY,,2022,2225787,3236974,5411193.37,16971665.7,188153,442905,44,6134860.55,18448016.43,310114.54125,1233601.23225
9C TECHNOLOGY LABS PRIVATE LIMITED,,ENTERPRISE SOFTWARE,,2022,188800,108000,349000,285100,,,420,32000,0,0,0
MT ENGINEERING AND SUPPLIERS PVT LTD,,CONSTRUCTION,,2022,1840850,263069,18939908,8277605,1377359,75884,259,19575037,8569468,1318127.775,492710.1
LANSISO INNOVATION TECHNOLOGIES PRIVATE LIMITED,,RENEWABLE ENERGY,Yes,2022,913000,3448477,20739707,20484833,294533,123819,221,22627741,21278772,1547080.575,1445907.9
CREON INFO PRIVATE LIMITED,,IT SERVICES,,2022,,232100,2988.24,263305.76,,0,266,,269044.13,0,0
ASICZEN TECHNOLOGIES INDIA PVT LTD,,INTERNET OF THINGS,,2022,16999642,31636508,42443208,69734086,,662895,3,22901586,88131146,1567618.95,6459835.95
CHIRASTHAEE URJA SAMADHAN(OPC) PRIVATE LIMITED,,RENEWABLE ENERGY,,2022,154000,,619470,55473,8254,7,234,651525,55500,0,0
GEOLYSIS INTEGRATED SOLUTIONS PRIVATE LIMITED,,TECHNOLOGY HARDWARE,,2022,745000,1775670,1085340.91,2302803.73,0,19631.45,23,1277438.88,2617039.62,0,46277.9715
EDOC MEDICAL SERVICES PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,455668,272000,825119,1261259,,,212,227994,783651,0,0
GLOVINOV TECHNOLOGY PRIVATE LIMITED,,TECHNOLOGY HARDWARE,,2022,,,3499,13557,,,270,,0,0,0
PRAKRITI O PRAKRITIK CONSUMER PRODUCTS PRIVATE LIMITED,,AGRICULTURE,,2022,269645,652712,1244884,1741678,3341,,224,1249080,1123150,0,0
HUMAPS PVT.LTD,,ENTERPRISE SOFTWARE,,2022,,,428694,229521,,,408,378759,217822,0,0
MRJ ENGINEERING PVT LTD,,HOUSE-HOLD SERVICES,,2022,435612,351601,1527728,416169,1497,1615,392,1533485,422379,0,0
DRSIGNET HEALTHCARE PRIVATE LIMITED,,IT SERVICES,Yes,2022,,,10011,5012,,,320,,0,0,0
QUICK BITS SEVEN ENTERPRISE PRIVATE LIMITED,,RETAIL,,2022,,92800,72134,356231,,,81,66728,334651,0,0
TRACSTARS INFORMATICS PRIVATE LIMITED,,IT SERVICES,Yes,2022,,,186445,460258,,,161,125000,459511,0,0
MR GARAZ TECHNOLOGIES PRIVATE LIMITED,,OTHER SPECIALTY RETAILERS,,2022,94351,333989,338073,526276,,,217,67621,248203,0,0
AROMASYMPHONIES PRIVATE LIMITED,,HOUSE-HOLD SERVICES,Yes,2022,,,23997.2,101483.69,,3367.57,123,13920,109080,0,0
LOGICZAP TECHNOLOGIES (OPC) PRIVATE LIMITED,,IT SERVICES,,2022,20000,18000,752361.46,1171919.91,240,625,114,753443.4,1181206.04,0,0
KALINGALEGAL SERVICES PRIVATE LIMITED,,PROFESSIONAL AND COMMERCIAL SERVICES,,2022,300000,528000,413593,670754,,,256,361556,490505,0,0
AGRIL CARE AND DEVELOPMENT PRIVATE LIMITED,,AGRICULTURE,,2022,,,130656,134508,,,420,0,0,0,0
JIGSAN HYGIENE PRIVATE LIMITED,,CHEMICALS,,2022,495836,457195,2823159,2426667,12000,20241,176,2854160,2499731,64062,37479.825
S2S BIZ SOLUTIONS PRIVATE LIMITED,,PROFESSIONAL AND COMMERCIAL SERVICES,,2022,315000,418000,813382,1715027,3120,,112,833368,1635013,0,0
PORSIO MARKETPLACE PRIVATE LIMITED,,FASHION,,2022,,,,,0,0,295,,0,0,0
ODISHAFISH MARINE EXPORTS PRIVATE LIMITED,,AGRICULTURE,Yes,2022,575650,580970,3903531,4708719,,842,154,3893411,4711960,142005.825,203397
CYFRIFPRO PRIVATE LIMITED,,FINANCE TECHNOLOGY,,2022,,,2896780,1980465,,,207,796439,1956864,0,0
NISARGA BLISS PVT. LTD.,Y,AGRICULTURE,,2022,1410330,1345090,8330680,10791000,,,110,8119950,10675380,458996.25,650653.5
SWAYOGYA REHAB SOLUTIONS PVT.LTD.,Y,HEALTHCARE AND LIFESCIENCES,Yes,2022,,890479,317326,2500239,,,77,305296,2463390,0,34754.25
ORICRED FINSERV PRIVATE LIMITED,,FINANCE TECHNOLOGY,,2022,966100,1245600,1721900,2097000,17100,27300,144,1787900,2141400,0,10605
IASSESS DIGITAL TECHNOLOGY PRIVATE LIMITED,,EDUCATION,,2022,,218542,72207,550313,0,,121,233306,397358,0,0
AZOOVA IT COMMUNICATIONS PRIVATE LIMITED,,IT SERVICES,,2022,,,21745.17,21822,,,235,,0,0,0
RED COVER MANAGEMENT SERVICES PRIVATE LIMITED,,EVENTS,,2022,323669,161905,606064.72,317689.74,,,412,276000,119500,0,0
TIGERWORLD TECHNOLOGIES,,IT SERVICES,Yes,2022,,,,,0,0,295,,0,0,0
MYORG360 INNOVATIONS PRIVATE LIMITED,,ENTERPRISE SOFTWARE,,2022,360000,879555,576308,1260980,4908,6040,129,595000,1284392,0,0
S.S ASSOCIATES INNOVATION LAB PVT. LTD.,,IT SERVICES,Yes,2022,2352833,3507497,4978607,7282743,47099,74711,41,5161113,7570094,237083.475,417757.05
BIG BUG E-SOLUTIONS PRIVATE LIMITED,,IT SERVICES,Yes,2022,,,145898.5,181456,,,122,91000,171625,0,0
SAHOO HOSPITALITY PRIVATE LIMITED,,OTHERS,Yes,2022,795880,50450,1467876,125606,76,,343,1539508,40800,0,0
MOKVIS ENGINEERING PRIVATE LIMITED,,CONSTRUCTION,,2022,2160000,904469,33424634,7705090,700660,98729,260,36118713,8083505,2558903.475,456262.875
SOFTREE TECHNOLOGY PRIVATE LIMITED,,ENTERPRISE SOFTWARE,Yes,2022,6436300,8145400,11650200,13967000,46800,105600,111,11836300,14374500,737722.5,928087.5
GOMOPY ONLINE SERVICES PVT LTD,,RETAIL,,2022,118261,156850,673904,1008388,,,209,591305,921751,0,0
LIVELIHOOD ALTERNATIVES PRIVATE LIMITED,,SOCIAL IMPACT,,2022,124500,1768893,311430.74,6586067.5,35860,194753,107,524325.2,7301888.17,0,397641.61275
TECHNICAL SITE DEVAJYOTI TECHNICAL SERVICES (OPC) PRIVATE LIMITED,,OTHERS,Yes,2022,,19500,12000,67400,,,294,,50640,0,0
EZYTAL PRIVATE LIMITED,,RETAIL,,2022,,,190745,224100,,,218,27895,205668,0,0
SUMATO FUTURISTIC SOLUTIONS PVT. LTD.,,SOCIAL IMPACT,Yes,2022,,,770121.9,816207,0,1900,285,770834,819850.14,0,0
TFARM PRIVATE LIMITED,,AGRICULTURE,,2022,664000,715800,1285860,1069658,,,210,459200,890000,0,0
AXONOTICS PVT. LTD.,Y,IT SERVICES,Yes,2022,136200,216000,473669,236627,,,435,472396,66001,0,0
JCURVE TECHNOLOGY PRIVATE LIMITD,,ENTERPRISE SOFTWARE,Yes,2022,,,10028,6472,,,312,,0,0,0
CENTURION DIGITECH SOLUTION PRIVATE LIMITED,,FINANCE TECHNOLOGY,,2022,,505263,489812.76,1151588.62,,,323,,161515,0,0
MARQUEESEMI INDIA PRIVATE LIMITED,,IT SERVICES,Yes,2022,16935388,23985330,19249145,30585560,95710,139631,62,19551949,31454529,1316396.175,2209089.675
MOKKOMOTTO (OPC) PVT LTD,,TECHNOLOGY HARDWARE,,2022,16350,,8590,82230,,,347,,0,0,0
ALWECK EXPORTS PVT LTD,,SOCIAL NETWORK,,2022,,,7000,132300,,,410,0,131870,0,0
OXYCODE TECHNOLOGIES PVT. LTD.,,ROBOTICS,Yes,2022,108094,151125,1054339,1057267,5109,900,262,1057220,1060725,0,0
MYTHICKA CONSULTANCY FOUNDATION,,SOCIAL IMPACT,,2022,,,14239,18721,,,247,,0,0,0
SOLAIRE INITIATIVES PRIVATE LIMITED,,RENEWABLE ENERGY,,2022,,,12000,513753,,,416,,20000,0,0
TIFT TRANSPORT PVT.LTD,,TRANSPORTATION AND STORAGE,,2022,320500,2127700,1948336,3033355,1367,8215,134,1953645,3064946,0,79870.95
ORESHAW VENTURES(OPC)PRIVATE LIMITED,,RENEWABLE ENERGY,,2022,,,13300,5000,,,184,,0,0,0
PRINTPANDA INDIA PRIVATE LIMITED,,ARCHITECTURE/INTERIOR DESIGN,,2022,1139490,2594660,4725890,12148390,53070,40770,101,5036810,12385980,227760.75,778948.5
ADDZET ADVERTISING AND MEDIA PRIVATE LIMITED,,ADVERTISING,,2022,174039,640850,429401,1181466,,,211,161611,879302,0,0
BEPURE FOODS PVT LTD,,AGRICULTURE,Yes,2022,177650,196150,1453661,799884,,,428,1077621,755845,0,0
BIVABARI FASHIONS PVT LTD,,TEXTILES AND APPAREL,Yes,2022,12000,12000,144160,321021,433,520,80,144160,323011,0,0
NAVONMESH PRASAR FOUNDATION,,EDUCATION,,2022,,302765,774924,515145,0,0,66,1214458,2562772,0,42207.9
UET TECHNOLOGY PRIVATE LIMITED,,IT SERVICES,,2022,1261579,1082600,2153666,1926575,,,402,2031982,1085321,2398.65,0
AD9 SYNTHETIC AND SPORTS PRIVATE LIMITED,,CONSTRUCTION,,2022,7577674,5207402,52284054,54856711,758326,823846,105,55200693,57907253,3990051.975,4193043.975
VITALIY INNOVATIONS,,CONSTRUCTION,,2022,,200000,20585,245842,2248,4826,126,35000,271684,0,0
LITTLESPACE FURNITURES PRIVATE LIMITED,,ARCHITECTURE/INTERIOR DESIGN,,2022,,60000,11860,371881,,0,229,,389304,0,0
NEO SANJIVANI PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,,,590463,623407,,,413,154453,118578,0,0
2PU SURGICALS PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,,,,0,0,311,,0,0,0
DEARLIFE EMPOWER INDIA PRIVATE LIMITED,,MARKETING,,2022,9021194.16,8154119.37,106926857.89,102967027.53,2517848.44,915575.78,135,116614890.91,106486719.51,8596116.81825,7836503.96325
BIOPIONEER PRIVATE LIMITED,Y,HEALTHCARE AND LIFESCIENCES,Yes,2022,,449000,69937,1006396,,,319,,992000,0,0
MEDRO MEDICAL SYSTEMS PVT.LTD,,HEALTHCARE AND LIFESCIENCES,,2022,1276000,1116000,26129234,55630971,60200,182803,63,26390156,56334059,1829261.7,4075054.425
MINDQUE INDIA PRIVATE LIMITED,Y,EDUCATION,,2022,1080931,2545930,1308942.06,3072205.06,,3420,88,1307666.8,3092126.88,0,81909.516
TRUSTLESS PRIVATE LIMITED,,FINANCE TECHNOLOGY,,2022,50000,,68012,86882.99,,,439,19754,0,0,0
PROCYNTECH CONSULTING PRIVATE LIMITED,,IT SERVICES,,2022,20057360,3349237,23995055,6129342,51796,21558,226,24194273,6202849,1664570.475,315213.675
REVEALAI TECHNOLOGIES PRIVATE LIMITED,,INTERNET OF THINGS,Yes,2022,160000,360000,211130,8819740,,57540,19,7090,9041040,0,528078
GLC DESIGNS INDIA PRIVATE LIMITED,,SOCIAL IMPACT,Yes,2022,704317,597000,6594463,1867411,,,228,6563469,776859,342260.175,0
MAHADEV POLYPLAST PRIVATE LIMITED,,OTHERS,Yes,2022,1287949,2876778,17975137,57204444,244184,400713,48,18696000,58745646,1252200,4255923.45
AFIYA ENTERPRISES PRIVATE LIMITED,,CONSTRUCTION,Yes,2022,20500,611312,74400,18355726,0,4131,99,74400,18371590,0,1227869.25
DZINEPIXEL WEBSTUDIOS (OPC) PRIVATE LIMITED,,IT SERVICES,,2022,3137450,2212813,3364270,2465672,20738,16289,175,3444030,2533600,108302.25,40020
QUICKBLUE ORAL CARE PVT LTD,Y,HEALTHCARE AND LIFESCIENCES,Yes,2022,,183000,18012.7,220500.65,,0,290,,220500.65,0,0
WHATNOT DENTAL SOLUTIONS PRIVATE LIMITED,Y,HEALTHCARE AND LIFESCIENCES,Yes,2022,,27000,17700,63818,,390,293,,65318,0,0
SWABALAMBEE FOUNDATION,,EDUCATION,,2022,,,30000,470000,,,431,,202000,0,0
GREENWEY CREATION PRIVATE LIMITED,,AGRICULTURE,Yes,2022,2369682,4705135,6579969,12971111,53591,143737,98,6725358,13472444,354401.85,860433.3
LARKAI HEALTHCARE PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,193000,147082,1511962,,,295,,0,0,0
PRIMERA LABORATORIES (OPC) PRIVATE LIMITED,,EDUCATION,,2022,72000,600000,191427,1295564.4,,,158,151000,1069827.25,0,0
PARIJA ICONIC IDEAS PRIVATE LIMITED,,FINANCE TECHNOLOGY,,2022,894000,166500,3124878.64,2188837.88,,,331,1012315,807282,0,0
VEDIKEM HERBALS PRIVATE LIMITED,,CHEMICALS,Yes,2022,2579600,1390100,14115277,9561017,34126,13240,225,14247917,9611939,918593.775,570895.425
WHYKRO PRIVATE LIMITED,,FASHION,,2022,,360000,36733,2282075,,11800,54,18888,2360949,0,27071.175
HERBZENICA LIFESCIENCES PRIVATE LIMITED,,GREEN TECHNOLOGY,,2022,698000,510150,1486470,1095500,,,334,539550,269560,0,0
FRESH TECH AND TALENTS (OPC) PRIVATE LIMITED,,EDUCATION,,2022,154150,350770,196500,706700,,,213,15660,562650,0,0
MOHANTA INFRATECH PRIVATE LIMITED,,OTHERS,,2022,,480000,8177,2371985,,,177,,2324562,0,24342.15
AXIMIND STRATEGIC SOLUTIONS,,AI,Yes,2022,405924,2238641.97,621865.62,2324834.44,,115976,71,552438.22,2770895.38,0,57817.1535
SERVERDIAL TECHSERV PRIVATE LIMITED,,IT SERVICES,,2022,989199,2104472,1874788,2530964,,38459,131,469278,2678884,0,50916.3
AARESS BUSINESS FACT INDIA PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,,,283820,194310,706,579,289,286536,196536,0,0
KONKUWAN HERBS PVT. LTD.,,AGRICULTURE,Yes,2022,96000,442450,385239,6847028.6,475,48108,51,395994,7023314,0,376748.55
MALLA CONSULTING PRIVATE LIMITED,,CONSTRUCTION,Yes,2022,1210000,2228000,1995000,3932000,201000,366000,97,2794000,5744000,59550,280800
FELIS LEO WIDGETS PRIVATE LIMITED,,GREEN TECHNOLOGY,Yes,2022,,,77141,131665,,,295,,0,0,0
TURMERIC TATTVA PRIVATE LIMITED,,AGRICULTURE,,2022,5413,165844,110714,820586.1,,,118,16053,586982,0,0
SATYAMTECH PRIVATE LIMITED,,IT SERVICES,Yes,2022,,648000,,1076881.79,0,,264,,1075053,0,0
BURPEAZE FOOD AND NUTRITION PRIVATE LIMITED,,FOOD AND BEVERAGES,Yes,2022,,200630,,502760,0,,445,,363470,0,0
RIGHTS2LIFE SERVICES PRIVATE LIMITED,,OTHERS,Yes,2022,49003,182501,75076,312473,,,432,,109677,0,0
HALDER REHAB PVT LTD,,HEALTHCARE AND LIFESCIENCES,Yes,2022,16500,18000,941911,1126951,,,399,934325,980364,0,0
AVEETI BIOMED SOLUTIONS PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,,11803,11800,,,310,,0,0,0
GOCLOUDNX PRIVATE LIMITED,,IT SERVICES,Yes,2022,,,35638,16416,,,295,,0,0,0
NEWSTREND NETWORK COMMUNICATION PRIVATE LIMITED,,MEDIA AND ENTERTAINMENT,,2022,2368442.9,2855839,10797937.03,11450449.11,473598.97,492447.64,146,12609140.25,13329097.99,795685.51875,849682.34925
MPBS LIFESTYLE  AND DESING LLP,,SOCIAL IMPACT,Yes,2022,,,,,0,0,279,,0,0,0
DURENTEK VENTURES PVT LTD,,MARKETING,Yes,2022,245210,370260,308350,459980,1630,2350,119,314600,469000,0,0
OVEST TECHNOLOGIES PRIVATE LIMITED,,FINANCE TECHNOLOGY,,2022,,142069,,245700,0,,353,,163333,0,0
PROCEKA TECHSOL PRIVATE LIMITED,,EDUCATION,,2022,115668,75887,686337,665192,,0,406,,666000,0,0
TRASHBACK INDIA PRIVATE LIMITED,,GREEN TECHNOLOGY,,2022,130000,163320,178511,232591,,,439,,0,0,0
PREEMINENCE SMARTECH PRIVATE LIMITED,,TECHNOLOGY HARDWARE,,2022,,,12947.94,23007.8,,,314,,0,0,0
DRIVO INDIA PRIVATE LIMITED,,TRAVEL AND TOURISM,,2022,,255000,241340,1548987,,,113,239304,1543724,0,0
TEXIANT SOFTWARE PVT LTD,,IT SERVICES,Yes,2022,,48000,,201684,0,,270,,0,0,0
MINDTRACK TECHNOLOGIES PRIVATE LIMITED,,IT SERVICES,Yes,2022,5893309,14185402,11291675,24169211.36,133336,287564,16,11746810,25275227,731010.75,1745642.025
DAIRY AND ECO FARMS PRIVATE LIMITED,,OTHERS,Yes,2022,,,103100,101200,,0,203,90700,103700,0,0
TECHMETIX SOLUTIONS PRIVATE LIMITED,,IT SERVICES,,2022,60000,144000,243400.47,341500.72,,,216,237900.46,331300.86,0,0
GOLDEN WEAVER AGRO INDUSTRY PRIVATE LIMITED,,AGRICULTURE,,2022,21500,38693,91845.61,154179.93,,,317,,132825,0,0
BOOK TURF (OPC) PRIVATE LIMITED,,SOCIAL IMPACT,Yes,2022,420000,,674328,418034,0,,267,680742,329775,0,0
AXELLANCE CODE SOFT PRIVATE LIMITED,,ENTERPRISE SOFTWARE,,2022,,133154,77015.23,402227.68,,,255,68055,172627.58,0,0
TECHCTICE PRIVATE LIMITED,,TRAVEL AND TOURISM,,2022,118000,,,547630,,,253,198000,512163,0,0
CMSEFR ONLINE SERVICES PRIVATE LIMITED,,INTERNET OF THINGS,Yes,2022,,,15000,5000,,,184,,0,0,0
REVOLTRIC POWER SOLUTION PRIVATE LIMITED,,IT SERVICES,Yes,2022,106000,120000,482627,6444906,,0,103,229127,6812146,0,360910.95
MOHANTA ECOMMERCE PRIVATE LIMITED,,OTHERS,,2022,,60000,8000,109614,,,295,,0,0,0
NUDGETECH SOLUTIONS PRIVATE LIMITED,,ANALYTICS,,2022,438714,,1156947.05,107301.33,,,420,1000000,0,0,0
TECHNOBOOT PRIVATE LIMITED,,IT SERVICES,,2022,63850,197392,182592,571567,,,120,163530,510197,0,0
CYTOPOT HEALTH CARE PRIVATE LIMITED,,HUMAN RESOURCES,Yes,2022,,,143400,260650,,,268,,245600,0,0
STYLOVY CREATION PRIVATE LIMITED,,FASHION,Yes,2022,,360000,833503,1064398,199888,2288,102,840960,1074471,0,0
SUBUDHI FOOD PRODUCTS PRIVATE LIMITED,,FOOD AND BEVERAGES,Yes,2022,,,8360.7,18602.29,,,346,,0,0,0
CANONFIRE CREATIVES PRIVATE LIMITED,,ADVERTISING,,2022,244000,2643093,1587354,35882018,15164,787106,100,1645679,38869623,0,2765221.725
ENCOMS PRIVATE LIMITED,,CONSTRUCTION,,2022,,1742700,,8623600,0,191800,348,,9236700,0,542752.5
SKYY RIDER ELECTRIC PRIVATE LIMITED,,AUTOMOTIVE,,2022,388660,4295263,1034895,30726431,27650,371880,83,1127340,32139120,0,2260434
1ST AIM TRADERS PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,574170,585470,10801505.93,12779598,72080,77413.84,220,11048959,13047548,678671.925,828566.1
HARIPRIYA REFRACTORIES PRIVATE LIMITED,,OTHERS,,2022,475800,2236865,1456450,9805788,39929,183247,70,1605673,10545014,0,640876.05
GLOBAL E-VILLAGE SERVICES INDIA PRIVATE LIMITED,,CONSTRUCTION,,2022,2795450,2840000,24874655,29844232,33488,139819,69,25003455,30354079,1725259.125,2126555.925
HEALTHY PLANET LIFE SCIENCES,,HEALTHCARE AND LIFESCIENCES,,2022,694000,1580000,21684209,25046166,130298,182003,91,22185352,25746181,1513901.4,1780963.575
ICES TECH HUB (OPC) PRIVATE LIMITED,,IT SERVICES,,2022,,,,,0,0,361,,0,0,0
JOYATO CONSULTANCY SERVICES (OPC) PRIVATE LIMITED,,IT SERVICES,,2022,0,120000,0,225748,0,,447,0,92000,0,0
EBL FIN TECH SERVICES PRIVATE LIMITED,,IT SERVICES,,2022,,,,33212,0,,385,,0,0,0
APS DESIGN INFRA PVT LTD,,DESIGN,,2022,,,,152199,0,8007,382,,183000,0,0
AMUSING PARENTS PVT LTD,,EDUCATION,,2022,,,,22813,0,,361,,0,0,0
DONGWUKART PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,,,,115000,0,,355,,90003,0,0
ZTOP IOT SOLUTIONS PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,,,30008,0,,361,,0,0,0
NATUREPRO ORGANIC SCIENCES PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,114697,,1837266,0,,354,,110780,0,0
WISHFORT TECHNOLOGIES PRIVATE LIMITED,,IT SERVICES,,2022,,,2000,7037,,,361,,0,0,0
CEDARA NATURALS PRIVATE LIMITED,,RETAIL,,2022,0,0,0,25372,0,,373,0,0,0,0
RX100 ENTERPRISES PRIVATE LIMITED,,ROBOTICS,,2022,,,,318878,0,,356,,200000,0,0
EV GARAZ PVT LTD,,AUTOMOTIVE,,2022,,,,57598,0,,381,,0,0,0
MILLENAI PRIVATE LIMITED,,AUTOMOTIVE,,2022,,,,1662,0,,388,,0,0,0
ORGANOPONIX PRIVATE LIMITED,,AGRICULTURE,,2022,,356000,,2192894,0,,442,,2010789,0,809.175
MO OIL VENTURES PRIVATE LIMITED,,NON- RENEWABLE ENERGY,,2022,,90000,,179837,0,,361,,0,0,0
CRAFTINDIKA RETAIL PRIVATE LIMITED,,RETAIL,,2022,,24000,,271700,0,,450,,0,0,0
SWABALAMBI ODRA GREEN FARMERS PRODUCER COMPANY LIMITED,,AGRICULTURE,,2022,,,,12121,0,,359,,9444,0,0
VATSALYA WELLNESS PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,0,,0,27441,0,,361,0,0,0,0
TENSIFT  FARMERS FERTILIZER PVT LTD,,AGRICULTURE,,2022,,,,15900,0,,361,,0,0,0
ASSURITY TECHSOLUTIONS PRIVATE LIMITED,,AGRICULTURE,,2022,,,15000,18736,,,380,,0,0,0
BETHANY AGRO PRIVATE LIMITED,,AGRICULTURE,,2022,,40000,,106611.32,0,,448,,55899.01,0,0
YOUNG TINKER PVT LTD,,EDUCATION,,2022,,555338.46,,742167.92,0,2484,398,,752304.92,0,0
YISE E-SCHOOL PRIVATE LIMITED,,EDUCATION,,2022,,0,,0,0,0,375,,0,0,0
VERNACULAR MEDIUM EDUCATIONAL SERVICES PVT LTD,,EDUCATION,,2022,,,,124817,0,,450,,0,0,0
HAPPINESS UNDER BUDGET RETAIL PVT LTD,,MARKETING,,2022,,205023,,2104055,0,,443,,1477500,0,0
WEBPLAY ENTERTAINMENT OPC PRIVATE LIMITED,,MEDIA AND ENTERTAINMENT,,2022,,,,38400,0,,378,,0,0,0
MAYURBHANJ GRAND PVT LTD,,SOCIAL IMPACT,,2022,,,,,0,0,376,,0,0,0
AMPLE CREATIX PRIVATE LIMITED,,TRANSPORTATION AND STORAGE,,2022,,132680,,534225,0,6180,351,,558000,0,0
BENVOLIO HEALTHCARE PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,210900,,264754,0,,387,,0,0,0
